股票代码,股票名称,行业,细分赛道,标签,月涨幅(%),年涨幅(%),快照时间,现价,涨幅,周转率,成交额,成交额_亿元,流通市值_亿元,总市值_亿元,市盈率_TTM,市净率,股息率_TTM,52周最高,52周最低,日线日期,收盘价,信号价,MA5,MA10,MA20,MA60,MA120,RSI14,5日涨幅,20日涨幅,60日涨幅,120日涨幅,5日均成交额,20日均成交额,20日回撤,日线样本数,财报期,营收,营收同比,归母净利润,归母净利润同比,毛利率,ROE,资产负债率,每股净资产,每股收益,月涨幅分位,年涨幅分位,换手率分位,成交额分位,60日涨幅分位,120日涨幅分位,52周位置,距52周高点比例,基本面打分,基本面依据,短期走势打分,短期依据,中期走势打分,中期依据,综合打分,综合排名
688525,佰维存储,芯片智造,存储芯片,核心供应商、技术领先,95.6,150.2,2026-05-25 15:00:00,320.77,2.73,7.73,11444187035.0,114.44187035,1510.30291467,1510.3029146669999,38.24,17.743,0.066,345.0,55.72,2026-05-22,312.25,320.77,314.87600000000003,315.718,296.49649999999997,247.9225,192.49175000000002,59.97509110198809,1.942539993470449,13.150456587911297,88.20444819480441,165.31565978417876,12244083019.2,11591481721.85,-3.119903352461506,818,2026-03-31,6814251870.63,341.528009,2898974486.65,1567.853888,53.3049,41.98,64.9551,18.0786,6.21,0.9302325581395349,0.9069767441860465,0.5155038759689923,0.8604651162790697,0.8671875,0.873015873015873,0.9162403207964601,0.9297681159420289,91.0,存储芯片、技术领先、核心供应商、核心；总市值1510亿，弹性或空间略受限；PE(TTM)38.2倍，增速能部分消化估值；毛利率53.3%，盈利壁垒强；ROE 42.0%；营收同比341.5%；利润同比1567.9%,80.3,月涨幅分位93%；换手率7.73%；成交额114.4亿；价在MA20上方,94.8,60日涨幅分位87%；52周位置92%；20日回撤-3.1%,88.9,1
301308,江波龙,芯片智造,存储芯片,核心供应商、技术突破,88.6,140.2,2026-05-25 15:34:24,565.5,2.91,6.47,10105111844.87,101.05111844870001,1593.87244926,2392.409994585,44.0,19.453,0.175,638.5,70.1,2026-05-22,549.5,565.5,562.93,573.437,494.18649999999997,381.3381666666666,332.0140833333333,70.14422790392751,-6.946420104314843,46.15916586870945,80.94109124436102,106.92122307576443,10686962186.2,10674213710.35,-7.5829383886255926,917,2026-03-31,9908726244.41,132.792832,3862236561.17,2644.049658,55.5274,39.4,65.5502,29.0694,9.21,0.8837209302325582,0.875968992248062,0.4263565891472868,0.8449612403100775,0.84375,0.7222222222222222,0.8715693173821253,0.8856695379796398,91.0,存储芯片、技术突破、核心供应商、核心；总市值2392亿，弹性或空间略受限；PE(TTM)44.0倍，增速能部分消化估值；毛利率55.5%，盈利壁垒强；ROE 39.4%；营收同比132.8%；利润同比2644.0%,65.5,月涨幅分位88%；换手率6.47%；成交额101.1亿；价在MA20上方,92.2,60日涨幅分位84%；52周位置87%；20日回撤-7.6%,83.7,2
300042,朗科科技,芯片智造,存储芯片,核心供应商、国产替代,85.3,135.6,2026-05-25 15:34:51,71.72,5.41,17.3,2389446867.6,23.894468676,143.71364766,143.72688,118.054,12.661,0.098,77.06,21.37,2026-05-22,68.04,71.72,70.90799999999999,68.994,61.529999999999994,49.75,39.49533333333333,66.23731459797034,4.757505773672066,37.732793522267215,93.3503836317136,113.4253450439147,2971894515.0,2437885010.85,-2.8315946348733245,3942,2026-03-31,486145760.32,107.844048,81891822.85,744.426305,25.2491,7.47,34.1804,5.6648,0.4086,0.8488372093023255,0.8604651162790697,0.9689922480620154,0.43410852713178294,0.8984375,0.753968253968254,0.9041120488418027,0.9307033480404879,73.0,存储芯片、国产替代、核心供应商、核心；总市值144亿，处于进可攻退可守区间；PE(TTM)118.1倍，增速能部分消化估值；毛利率25.2%，处于一般水平；ROE 7.5%；营收同比107.8%；利润同比744.4%,86.6,月涨幅分位85%；换手率17.30%；成交额23.9亿；价在MA20上方,94.1,60日涨幅分位90%；52周位置90%；20日回撤-2.8%,83.4,3
300604,长川科技,芯片智造,刻蚀设备,测试核心、国产替代,65.2,110.3,2026-05-25 15:34:33,248.0,5.08,7.83,9208390944.77,92.08390944770001,1213.8891588,1573.35816272,100.028,30.891,0.04,258.68,40.1803,2026-05-22,236.02,248.0,229.11399999999998,222.343,196.809,152.81383333333332,130.66833333333332,73.26247550128147,12.658711217183782,59.15037086985839,80.73359369017537,200.8540471637986,8439362064.4,6700676477.1,2.666004305348557,2198,2026-03-31,1378470645.57,69.085442,352540319.34,217.602047,56.8083,7.17,49.4151,8.0281,0.5571,0.5,0.6511627906976745,0.5503875968992248,0.8062015503875969,0.8359375,0.9444444444444444,0.95112121435407,0.9587134683779186,78.0,刻蚀设备、国产替代、核心；总市值1573亿，弹性或空间略受限；PE(TTM)100.0倍，增速能部分消化估值；毛利率56.8%，盈利壁垒强；ROE 7.2%；营收同比69.1%；利润同比217.6%,76.9,月涨幅分位50%；换手率7.83%；成交额92.1亿；价在MA20上方,95.4,60日涨幅分位84%；52周位置95%；20日回撤2.7%,82.9,4
300308,中际旭创,光模块,高速光模块、硅光模块、LPO模块、CPO光引擎,全球龙头、英伟达核心、技术标杆、机构重仓,107.7,180.2,2026-05-25 15:34:09,1093.0,5.3,2.26,26633292536.27,266.3329253627,12113.78098403,12171.65383662,81.422,34.126,0.128,1099.87,88.3293,2026-05-22,1037.98,1093.0,1028.664,1027.851,947.3984999999999,731.518,654.0484166666666,75.43896651726865,-1.1325211692876147,20.158825708464523,95.70865622112865,112.69210278267283,24512023420.0,26061271675.5,1.3914656771799594,3260,2026-03-31,19496398083.95,192.116909,5734501526.83,262.283657,46.0581,17.54,32.6362,32.0282,5.18,0.9612403100775194,0.9689922480620154,0.03875968992248062,0.9689922480620154,0.90625,0.746031746031746,0.9932083800483759,0.9937538072681318,77.0,CPO光引擎、高速光模块、硅光模块、全球龙头、龙头、技术标杆、机构重仓、核心；总市值12172亿，体量偏大导致赔率下降；PE(TTM)81.4倍，增速能部分消化估值；毛利率46.1%，盈利能力优秀；ROE 17.5%；营收同比192.1%；利润同比262.3%,78.0,月涨幅分位96%；换手率2.26%；成交额266.3亿；价在MA20上方,95.5,60日涨幅分位91%；52周位置99%；20日回撤1.4%,82.8,5
300502,新易盛,光模块,高速光模块、LPO模块、硅光模块,全球第二、北美核心、LPO标杆、高毛利,98.3,150.6,2026-05-25 15:34:33,659.01,8.61,5.37,30125178942.27,301.2517894227,5847.26216185,6563.0649846432,61.111,32.144,0.151,660.06,77.4593,2026-05-22,606.77,659.01,586.632,594.6320000000001,574.424,489.774,443.3599166666666,62.4861304985862,-0.5376608474715106,4.886776145203098,65.73434213760892,88.20409429280399,19856052074.2,23842981146.55,4.772730886023613,2480,2026-03-31,8337902040.74,105.759481,2780222960.23,76.799832,49.161,14.52,31.035,20.5015,2.8,0.937984496124031,0.9341085271317829,0.34108527131782945,0.9922480620155039,0.7734375,0.6428571428571429,0.9981977364599803,0.9984092355240434,79.0,高速光模块、硅光模块、高毛利、核心；总市值6563亿，体量偏大导致赔率下降；PE(TTM)61.1倍，增速能部分消化估值；毛利率49.2%，盈利能力优秀；ROE 14.5%；营收同比105.8%；利润同比76.8%,76.1,月涨幅分位94%；换手率5.37%；成交额301.3亿；价在MA20上方,91.9,60日涨幅分位77%；52周位置100%；20日回撤4.8%,82.0,6
603986,兆易创新,芯片智造,存储芯片,行业龙头、产能领先、国产替代,80.2,120.5,2026-05-25 15:00:00,515.6,10.0,8.89,29387713836.0,293.87713836,3443.40771662,3614.8842373560005,125.751,14.303,0.145,515.61,110.6983,2026-05-22,468.74,515.6,430.044,396.243,357.01300000000003,305.02333333333337,275.38933333333335,81.59215779279813,24.884105078062557,53.04796421458191,51.843213475866555,131.45368358680622,26667354760.8,17880397439.85,9.997013269616417,2160,2026-03-31,4188075574.04,119.378676,1461248353.08,522.788138,57.0767,6.12,8.1329,36.048,2.19,0.813953488372093,0.8062015503875969,0.6589147286821705,0.9844961240310077,0.703125,0.8174603174603174,0.9999753032574756,0.9999806054964023,72.0,存储芯片、行业龙头、龙头、产能领先、国产替代；总市值3615亿，体量偏大导致赔率下降；PE(TTM)125.8倍，增速能部分消化估值；毛利率57.1%，盈利壁垒强；ROE 6.1%；营收同比119.4%；利润同比522.8%,85.0,月涨幅分位81%；换手率8.89%；成交额293.9亿；价在MA20上方,92.2,60日涨幅分位70%；52周位置100%；20日回撤10.0%,82.0,6
300054,鼎龙股份,芯片智造,CMP设备,抛光垫龙头、产能领先,65.2,102.5,2026-05-25 15:34:30,77.0,5.48,7.14,3891080415.37,38.9108041537,568.37769065,730.01432196,87.936,13.366,0.13,80.33,26.5359,2026-05-22,73.0,77.0,74.49600000000001,71.78900000000002,65.99600000000001,53.724833333333336,47.13608333333333,65.48907043497462,4.76463834672789,39.57934990439771,60.263446761800225,108.21448944666284,3553108807.4,3144554800.65,-0.012985326580972067,3814,2026-03-31,1020104503.18,23.817939,250955125.19,77.991424,54.9471,4.71,40.1705,5.7609,0.26,0.5,0.46511627906976744,0.4728682170542636,0.6046511627906976,0.7421875,0.7301587301587301,0.9380973006333408,0.9585459977592431,81.0,CMP设备、龙头、产能领先；总市值730亿，处于进可攻退可守区间；PE(TTM)87.9倍，增速能部分消化估值；毛利率54.9%，盈利壁垒强；ROE 4.7%偏低；营收同比23.8%；利润同比78.0%,70.8,月涨幅分位50%；换手率7.14%；成交额38.9亿；价在MA20上方,91.2,60日涨幅分位74%；52周位置94%；20日回撤-0.0%,81.0,8
688008,澜起科技,芯片智造,存储芯片,内存接口龙头、技术标杆,111.9,180.3,2026-05-25 15:00:00,284.08,4.51,7.8,24433132286.0,244.33132286,3256.76846086,3472.0258196567997,135.752,16.656,0.203,287.34,74.6702,2026-05-22,271.83,284.08,257.28000000000003,254.81799999999998,217.4395,170.39583333333334,153.7780833333333,82.89550119408764,9.617711105734328,71.60984848484846,65.14580801944108,127.66331658291455,21496156653.6,18272948217.25,4.506493028731184,1656,2026-03-31,1460718316.43,19.514563,847375292.29,61.30464,69.7882,5.39,4.1745,17.0559,0.73,0.9767441860465116,0.9767441860465116,0.5426356589147286,0.9612403100775194,0.7578125,0.8015873015873016,0.9846710722443902,0.9886545555787569,67.0,存储芯片、龙头、技术标杆；总市值3472亿，体量偏大导致赔率下降；PE(TTM)135.8倍；毛利率69.8%，盈利壁垒强；ROE 5.4%；营收同比19.5%；利润同比61.3%,87.9,月涨幅分位98%；换手率7.80%；成交额244.3亿；价在MA20上方,92.9,60日涨幅分位76%；52周位置98%；20日回撤4.5%,81.0,8
002463,沪电股份,芯片智造,PCB、ABF载板,高速PCB龙头、ABF领先、产能规模大、客户优质,85.3,140.2,2026-05-25 15:04:45,122.54,7.43,5.19,12116950712.95,121.1695071295,2356.21196954,2358.1150782398,54.815,14.045,0.408,123.82,28.9054,2026-05-22,114.07,122.54,105.64200000000001,106.816,105.4425,90.17333333333333,80.36075,67.88154897494303,10.75832605107292,14.804750402576495,65.67901234567901,80.23384420919575,7100261705.0,7170823629.85,7.425265188042451,3815,2026-03-31,6214156406.0,53.906141,1242081367.0,62.903309,35.6324,7.81,48.6431,8.7249,0.6455,0.8488372093023255,0.875968992248062,0.31007751937984496,0.875968992248062,0.765625,0.6190476190476191,0.9865141927585431,0.9896624131804233,77.0,ABF载板、PCB、龙头、客户优质；总市值2358亿，弹性或空间略受限；PE(TTM)54.8倍，增速能部分消化估值；毛利率35.6%，盈利能力良好；ROE 7.8%；营收同比53.9%；利润同比62.9%,75.5,月涨幅分位85%；换手率5.19%；成交额121.2亿；价在MA20上方,91.3,60日涨幅分位77%；52周位置99%；20日回撤7.4%,80.8,10
